
 'MICER spectrum':

  detector  wavelength      value      rel. std. dev.
        20       19       1.82968E-03   0.1228
        21       19       1.74526E-03   0.1968
        22       19       1.86100E-03   0.1667
        23       19       1.24029E-03   0.1664
        24       19       1.30114E-03   0.1620
        25       19       1.25653E-03   0.1371
        26       19       1.30744E-03   0.1620
        27       19       1.58499E-03   0.1633
        28       19       1.83186E-03   0.1884
        29       19       1.59879E-03   0.1600
        30       19       1.91722E-03   0.2162
        31       19       1.71934E-03   0.1590
        32       19       1.70771E-03   0.1327
         1       20       3.28159E-03   0.1650
         2       20       3.19463E-03   0.1704
         3       20       3.04336E-03   0.1727
         4       20       2.74968E-03   0.1771
         5       20       2.68855E-03   0.1732
         6       20       2.35897E-03   0.1785
         7       20       2.37033E-03   0.1867
         8       20       2.05095E-03   0.2073
         9       20       1.62841E-03   0.2352
        10       20       1.44692E-03   0.2539
        11       20       1.05835E-03   0.3199
        12       20       9.50876E-04   0.3160
        13       20       8.76553E-04   0.3216
        14       20       4.32263E-04   0.3776
        15       20       4.29272E-04   0.4216
        16       20       3.94707E-04   0.3976
        17       20       2.02711E-03   0.1049
        18       20       2.21121E-03   0.1358
        19       20       1.82305E-03   0.1485
        20       20       1.39160E-03   0.1284
        21       20       1.41806E-03   0.1321
        22       20       1.88072E-03   0.1315
        23       20       1.57987E-03   0.1364
        24       20       1.95788E-03   0.1976
        25       20       1.68920E-03   0.1505
        26       20       1.42423E-03   0.1541
        27       20       1.49786E-03   0.1410
        28       20       1.30560E-03   0.1442
        29       20       9.18904E-04   0.1440
        30       20       1.32787E-03   0.1830
        31       20       1.22192E-03   0.2083
        32       20       1.18851E-03   0.2155
         1       21       4.19921E-03   0.1466
         2       21       3.72054E-03   0.1348
         3       21       3.43658E-03   0.1473
         4       21       3.23731E-03   0.1671
         5       21       2.70345E-03   0.1801
         6       21       2.30868E-03   0.1883
         7       21       2.25898E-03   0.1859
         8       21       2.11208E-03   0.2026
         9       21       1.75049E-03   0.2325
        10       21       1.31052E-03   0.2817
        11       21       1.08277E-03   0.3927
        12       21       1.01975E-03   0.4288
        13       21       1.10542E-03   0.4956
        14       21       1.25223E-03   0.5324
        15       21       1.11491E-03   0.5493
        16       21       1.07179E-03   0.4858
        17       21       2.17550E-03   0.0937
        18       21       1.81019E-03   0.0976
        19       21       2.05201E-03   0.1633
        20       21       1.65125E-03   0.1109
        21       21       1.28865E-03   0.1097
        22       21       1.44582E-03   0.1503
        23       21       1.28816E-03   0.1312
        24       21       1.33011E-03   0.1527
        25       21       1.53560E-03   0.1341
        26       21       1.66184E-03   0.1382
        27       21       2.13999E-03   0.1340
        28       21       1.79240E-03   0.1311
        29       21       1.43467E-03   0.1370
        30       21       1.73216E-03   0.2125
        31       21       1.63323E-03   0.2185
        32       21       1.96811E-03   0.1691
         1       22       3.96900E-03   0.1869
         2       22       4.07451E-03   0.1837
         3       22       4.29795E-03   0.2050
         4       22       4.13849E-03   0.2421
         5       22       4.15590E-03   0.2243
         6       22       3.95292E-03   0.2091
         7       22       3.26085E-03   0.1957
         8       22       2.51600E-03   0.1982
         9       22       2.15875E-03   0.2199
        10       22       1.73734E-03   0.3142
        11       22       1.63370E-03   0.3516
        12       22       1.47512E-03   0.3602
        13       22       1.28326E-03   0.3781
        14       22       1.12171E-03   0.4426
        15       22       1.03161E-03   0.4302
        16       22       8.45588E-04   0.3763
        17       22       2.21338E-03   0.0965
        18       22       1.96996E-03   0.1039
        19       22       1.97408E-03   0.1373
        20       22       1.82904E-03   0.1174
        21       22       2.01002E-03   0.1305
        22       22       1.74380E-03   0.1324
        23       22       1.62449E-03   0.1310
        24       22       1.47963E-03   0.1274
        25       22       1.63316E-03   0.1408
        26       22       1.35803E-03   0.1411
        27       22       1.94823E-03   0.1736
        28       22       1.84179E-03   0.1829
        29       22       1.77784E-03   0.2056
        30       22       1.78285E-03   0.1836
        31       22       1.86237E-03   0.1639
        32       22       1.87195E-03   0.1372
         1       23       3.95410E-03   0.1531
         2       23       3.81600E-03   0.1576
         3       23       3.34987E-03   0.1572
         4       23       3.46099E-03   0.1749
         5       23       3.04832E-03   0.1767
         6       23       2.68296E-03   0.1795
