
 'MICER spectrum':

  detector  wavelength      value      rel. std. dev.
        11       17       1.12741E-03   0.2959
        12       17       9.39877E-04   0.2810
        13       17       6.77929E-04   0.2432
        14       17       5.42581E-04   0.2720
        15       17       5.00622E-04   0.3092
        16       17       4.67267E-04   0.3497
        17       17       2.36930E-03   0.1275
        18       17       2.54994E-03   0.1461
        19       17       2.76386E-03   0.1597
        20       17       3.44585E-03   0.2068
        21       17       2.46420E-03   0.1281
        22       17       2.37691E-03   0.1492
        23       17       1.89501E-03   0.1354
        24       17       1.34969E-03   0.1447
        25       17       1.06527E-03   0.1312
        26       17       1.05391E-03   0.1410
        27       17       1.26927E-03   0.1439
        28       17       1.17666E-03   0.1471
        29       17       1.01645E-03   0.1353
        30       17       1.01039E-03   0.1338
        31       17       9.61751E-04   0.1285
        32       17       1.29971E-03   0.1571
         1       18       8.25713E-03   0.1715
         2       18       8.12200E-03   0.1895
         3       18       7.19829E-03   0.1940
         4       18       5.07569E-03   0.2251
         5       18       4.64614E-03   0.2219
         6       18       4.73152E-03   0.2029
         7       18       4.44366E-03   0.2123
         8       18       3.66628E-03   0.2080
         9       18       2.85487E-03   0.2364
        10       18       2.49477E-03   0.2631
        11       18       2.33081E-03   0.2909
        12       18       1.51693E-03   0.2932
        13       18       1.12349E-03   0.3142
        14       18       9.57343E-04   0.3845
        15       18       7.68185E-04   0.4392
        16       18       8.40942E-04   0.4044
        17       18       2.33330E-03   0.0956
        18       18       2.27616E-03   0.1138
        19       18       2.57634E-03   0.2395
        20       18       1.93571E-03   0.1446
        21       18       1.72674E-03   0.1920
        22       18       1.54433E-03   0.1172
        23       18       1.26068E-03   0.1356
        24       18       1.03049E-03   0.1529
        25       18       1.00985E-03   0.1259
        26       18       1.23632E-03   0.1846
        27       18       1.34649E-03   0.1337
        28       18       1.28722E-03   0.1311
        29       18       1.16890E-03   0.1410
        30       18       1.00006E-03   0.1379
        31       18       1.06428E-03   0.2412
        32       18       1.40382E-03   0.1938
         1       19       9.87120E-03   0.1418
         2       19       8.92476E-03   0.1576
         3       19       7.40320E-03   0.1533
         4       19       6.48575E-03   0.1623
         5       19       5.89055E-03   0.1646
         6       19       5.08615E-03   0.1658
         7       19       4.85286E-03   0.1644
         8       19       3.73173E-03   0.1998
         9       19       2.83449E-03   0.2439
        10       19       1.59570E-03   0.2599
        11       19       9.61173E-04   0.3324
        12       19       1.33082E-03   0.3424
        13       19       1.06754E-03   0.3292
        14       19       6.74285E-04   0.3786
        15       19       6.46250E-04   0.3418
        16       19       5.56246E-04   0.2605
        17       19       2.81335E-03   0.1120
        18       19       2.69088E-03   0.1380
